"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"58",2788,54,"5.4.99.5","Chorismate mutase.","Phenylalanine, tyrosine and tryptophan biosynthesis","2545, 6682","chorismate mutase activity, aromatic amino acid family biosynthetic process","GO:0004106, GO:0009073","KOG0795","Chorismate mutase","Amino acid transport and metabolism","IPR020822, IPR008238, IPR008238, IPR020822, IPR008238","Chorismate mutase, type II, Chorismate mutase, AroQ class, eukaryotic type, Chorismate mutase, AroQ class, eukaryotic type, Chorismate mutase, type II, Chorismate mutase, AroQ class, eukaryotic type",4580,"RDEBS06983","RDEBS06983","Chorismate mutase (EC 5.4.99.5)","jgi.p|Debsub1|2788"
"59",2806,55,"2.3.1.26","Sterol O-acyltransferase.","Bile acid biosynthesis","3133","sterol O-acyltransferase activity","GO:0004772","KOG0380","Sterol O-acyltransferase/Diacylglycerol O-acyltransferase","Lipid transport and metabolism","IPR004299, IPR014371","Membrane bound O-acyl transferase, MBOAT, Sterol O-acyltransferase, ACAT/DAG/ARE types",4477,"RDEBS07598","RDEBS07598","Sterol O-acyltransferase (EC 2.3.1.26)","jgi.p|Debsub1|2806"
"60",3106,56,NA,NA,NA,NA,NA,NA,"KOG0758","Mitochondrial carnitine-acylcarnitine carrier protein","Energy production and conversion","IPR018108, IPR018108, IPR023395","Mitochondrial substrate/solute carrier, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain",4561,"RDEBS07149","RDEBS07149",NA,"jgi.p|Debsub1|3106"
"61",3134,57,NA,NA,NA,"4918, 21295, 12906","superoxide metabolic process, metal ion binding, metal ion transport","GO:0006801, GO:0046872, GO:0030001","KOG4656","Copper chaperone for superoxide dismutase","Inorganic ion transport and metabolism","IPR001424, IPR006121, IPR006121, IPR001424, IPR006121","Superoxide dismutase, copper/zinc binding domain, Heavy metal-associated domain, HMA, Heavy metal-associated domain, HMA, Superoxide dismutase, copper/zinc binding domain, Heavy metal-associated domain, HMA",4566,"RDEBS07063","RDEBS07063","Superoxide dismutase (EC 1.15.1.1)","jgi.p|Debsub1|3134"
"62",3222,58,NA,NA,NA,"12251, 21336, 9710, 3129","heme binding, transition metal ion binding, oxidoreductase activity, stearoyl-CoA 9-desaturase activity","GO:0020037, GO:0046914, GO:0016491, GO:0004768","KOG1600","Fatty acid desaturase","Lipid transport and metabolism","IPR001199, IPR005804, IPR001199, IPR001199","Cytochrome b5-like heme/steroid binding domain, Fatty acid desaturase, type 1, Cytochrome b5-like heme/steroid binding domain, Cytochrome b5-like heme/steroid binding domain",4426,"RDEBS07920","RDEBS07920","Acyl-CoA desaturase (EC 1.14.19.1)","jgi.p|Debsub1|3222"
"63",3233,59,NA,NA,NA,"3838","nucleus","GO:0005634","KOG2570","SWI/SNF transcription activation complex subunit","Chromatin structure and dynamics , Transcription","IPR003121, IPR003121","SWIB/MDM2 domain, SWIB/MDM2 domain",4417,"RDEBS07967","RDEBS07967","Transcription regulatory protein SNF12","jgi.p|Debsub1|3233"
"64",3251,60,NA,NA,NA,"3838, 5160, 13150, 3708","nucleus, mitosis, chromosome condensation, binding","GO:0005634, GO:0007067, GO:0030261, GO:0005488","KOG0414","Chromosome condensation complex Condensin, subunit D2","Chromatin structure and dynamics , Cell cycle control, cell division, chromosome partitioning","\N, IPR024324, IPR007673, IPR016024","\N, Condensin complex, subunit 1, N-terminal, Condensin subunit 1, Armadillo-type fold",4205,"RDEBS09108","RDEBS09108","Condensin complex subunit 1","jgi.p|Debsub1|3251"
"65",3252,61,NA,NA,NA,"3868, 4501, 10155","transcription factor TFIID complex, transcription initiation, transcription initiation factor activity","GO:0005669, GO:0006352, GO:0016986","KOG2341","TATA box binding protein (TBP)-associated factor, RNA polymerase II","Transcription","IPR007900","Transcription initiation factor TFIID component TAF4",4223,"RDEBS09062","RDEBS09062",NA,"jgi.p|Debsub1|3252"
"66",3253,62,"6.5.1.4","RNA-3'-phosphate cyclase.","\N","4541, 10081, 2290, 2416","RNA processing, ligase activity, forming phosphoric ester bonds, catalytic activity, RNA-3'-phosphate cyclase activity","GO:0006396, GO:0016886, GO:0003824, GO:0003963","KOG3980","RNA 3'-terminal phosphate cyclase","RNA processing and modification","IPR023797, IPR013791, IPR020719, IPR013792, IPR016443","RNA 3'-terminal phosphate cyclase domain, RNA 3'-terminal phosphate cyclase, insert domain, RNA 3'-terminal phosphate cyclase-like, conserved site, RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta, RNA 3'-terminal phosphate cyclase type 2",4228,"RDEBS09036","RDEBS09036","RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)","jgi.p|Debsub1|3253"
"67",3261,63,"1.13.11.1","Catechol 1,2-dioxygenase.","1,4-Dichlorobenzene degradation","2290, 4851, 5873, 3721, 7287, 10882, 9903","catalytic activity, aromatic compound metabolic process, ferric iron binding, iron ion binding, catechol metabolic process, catechol 1,2-dioxygenase activity, oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","GO:0003824, GO:0006725, GO:0008199, GO:0005506, GO:0009712, GO:0018576, GO:0016702",NA,NA,NA,"IPR000627, IPR007535, IPR000627, IPR015889","Intradiol ring-cleavage dioxygenase, C-terminal, Catechol dioxygenase, N-terminal, Intradiol ring-cleavage dioxygenase, C-terminal, Intradiol ring-cleavage dioxygenase, core",4285,"RDEBS08685","RDEBS08685","hydroxyquinol 1,2-dioxygenase (EC 1.13.11.37)","jgi.p|Debsub1|3261"
"68",3272,64,"3.1.3.3","Phosphoserine phosphatase.","Glycine, serine and threonine metabolism","5830, 9988, 3020","metabolic process, phosphoric monoester hydrolase activity, phosphoserine phosphatase activity","GO:0008152, GO:0016791, GO:0004647",NA,NA,NA,"\N, IPR023214, IPR006383, IPR006384","\N, HAD-like domain, HAD-superfamily hydrolase, subfamily IB, PSPase-like, Pyridoxal phosphate phosphatase-related",4350,"RDEBS08326","RDEBS08326","Phosphoserine phosphatase (EC 3.1.3.3)","jgi.p|Debsub1|3272"
"69",3273,65,NA,NA,NA,"3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase activity, 3-phosphoinositide-dependent protein kinase activity, DNA-dependent protein kinase activity, AMP-activated protein kinase activity, casein kinase activity, casein kinase I activity, cyclic nucleotide-dependent protein kinase activity, eukaryotic translation initiation factor 2alpha kinase activity, galactosyltransferase-associated kinase activity, glycogen synthase kinase 3 activity, calcium-dependent protein kinase C activity, atypical protein kinase C activity, receptor signaling protein serine/threonine kinase activity, NF-kappaB-inducing kinase activity, JUN kinase activity, JUN kinase kinase kinase activity, MAP kinase kinase activity, MAP/ERK kinase kinase activity, ribosomal protein S6 kinase activity, Janus kinase activity, MAP kinase 1 activity, MP kinase activity, MAP kinase kinase kinase kinase activity, JUN kinase kinase activity, MAP kinase 2 activity, SAP kinase activity, transmembrane receptor protein kinase activity, cyclin-dependent protein kinase activating kinase activity, GTP-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004718, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211","KOG0032","Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily","Signal transduction mechanisms","IPR000719, IPR008271, IPR000719, IPR002290, IPR011009","Protein kinase domain, Serine/threonine-protein kinase, active site, Protein kinase domain, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",4359,"RDEBS08272","RDEBS08272","Serine/threonine-protein kinase RCK2 (EC 2.7.1.-)","jgi.p|Debsub1|3273"
"70",3288,66,"2.8.3.5","3-oxoacid CoA-transferase.","Valine, leucine and isoleucine degradation","5830, 6070, 5930","metabolic process, CoA-transferase activity, 3-oxoacid CoA-transferase activity","GO:0008152, GO:0008410, GO:0008260","KOG3822","Succinyl-CoA:alpha-ketoacid-CoA transferase","Energy production and conversion","IPR004165, IPR014388, IPR004164, IPR004165, \N, IPR012791","Coenzyme A transferase family I, 3-oxoacid CoA-transferase, Coenzyme A transferase active site, Coenzyme A transferase family I, \N, 3-oxoacid CoA-transferase, subunit B",4291,"RDEBS08625","RDEBS08625","Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial precursor (EC 2.8.3.5)","jgi.p|Debsub1|3288"
"71",3296,67,NA,NA,NA,"9971, 9970, 3708","phosphotransferase activity, alcohol group as acceptor, transferase activity, transferring phosphorus-containing groups, binding","GO:0016773, GO:0016772, GO:0005488","KOG0891","DNA-dependent protein kinase","Replication, recombination and repair","IPR000403, IPR003151, IPR003152, IPR009076, IPR024585, \N, IPR018936, IPR018936, IPR000403, IPR014009, IPR003152, IPR000403, IPR009076, IPR016024, IPR011009","Phosphatidylinositol 3-/4-kinase, catalytic domain, PIK-related kinase, FAT, PIK-related kinase, FATC, Rapamycin-binding domain, Domain of unknown function DUF3385,  target of rapamycin protein, \N, Phosphatidylinositol 3/4-kinase, conserved site, Phosphatidylinositol 3/4-kinase, conserved site, Phosphatidylinositol 3-/4-kinase, catalytic domain, PIK-related kinase, PIK-related kinase, FATC, Phosphatidylinositol 3-/4-kinase, catalytic domain, Rapamycin-binding domain, Armadillo-type fold, Protein kinase-like domain",4241,"RDEBS08867","RDEBS08867","Phosphatidylinositol 3-kinase TOR1 (EC 2.7.1.137)","jgi.p|Debsub1|3296"
"72",3304,68,NA,NA,NA,"2175","nucleic acid binding","GO:0003676","KOG0118","FOG: RRM domain","General function prediction only","IPR000504, IPR000504, IPR000504, \N","RNA recognition motif domain, RNA recognition motif domain, RNA recognition motif domain, \N",4185,"RDEBS09285","RDEBS09285",NA,"jgi.p|Debsub1|3304"
"73",3320,69,"1.3.1.21","7-dehydrocholesterol reductase.","Sterol biosynthesis","3727, 22009","protein binding, 7-dehydrocholesterol reductase activity","GO:0005515, GO:0047598","KOG0678","Actin-related protein Arp2/3 complex, subunit Arp3","Cytoskeleton","IPR004000, IPR020902, IPR004000, \N","Actin family, Actin/actin-like conserved site, Actin family, \N",4244,"RDEBS08849","RDEBS08849","Actin","jgi.p|Debsub1|3320"
"74",3379,70,NA,NA,NA,"3043, 3736, 4602, 3045, 3058, 4123","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, cAMP-dependent protein kinase activity, cAMP-dependent protein kinase complex","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004691, GO:0005952","KOG0616","cAMP-dependent protein kinase catalytic subunit (PKA)","Signal transduction mechanisms","IPR000719, IPR017441, IPR008271, IPR000719, IPR000961, IPR000961, IPR002290, IPR011009","Protein kinase domain, Protein kinase, ATP binding site, Serine/threonine-protein kinase, active site, Protein kinase domain, AGC-kinase, C-terminal, AGC-kinase, C-terminal, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",4407,"RDEBS08417","RDEBS08417","cAMP-dependent protein kinase catalytic subunit (EC 2.7.11.1)","jgi.p|Debsub1|3379"
"75",3507,71,NA,NA,NA,"3546, 4927, 9320","transporter activity, transport, membrane","GO:0005215, GO:0006810, GO:0016020","KOG1291","Mn2+ and Fe2+ transporters of the NRAMP family","Inorganic ion transport and metabolism","IPR001046, IPR001046","NRAMP family, NRAMP family",4345,"RDEBS08356","RDEBS08356",NA,"jgi.p|Debsub1|3507"
"76",3765,72,"1.2.1.3","Aldehyde dehydrogenase (NAD+).","1,2-Dichloroethane degradation","5830, 9710, 2473","metabolic process, oxidoreductase activity, aldehyde dehydrogenase (NAD) activity","GO:0008152, GO:0016491, GO:0004029","KOG2454","Betaine aldehyde dehydrogenase","Energy production and conversion","IPR015590, IPR016161","Aldehyde dehydrogenase domain, Aldehyde/histidinol dehydrogenase",4129,"RDEBS09548","RDEBS09548","Aldehyde dehydrogenase family protein / Amidophosphoribosyltransferase (EC 2.4.2.14) / Endonuclease III (EC 4.2.99.18)","jgi.p|Debsub1|3765"
"77",3766,73,NA,NA,NA,NA,NA,NA,"KOG2422","Uncharacterized conserved protein","Function unknown","IPR006994","Transcription factor 25",4120,"RDEBS09603","RDEBS09603","Hypothetical membrane spanning protein","jgi.p|Debsub1|3766"
"78",3774,74,NA,NA,NA,"3425, 3827, 17205","Rho guanyl-nucleotide exchange factor activity, intracellular, regulation of Rho protein signal transduction","GO:0005089, GO:0005622, GO:0035023",NA,NA,NA,"IPR000219, IPR000219, IPR000219","Dbl homology (DH) domain, Dbl homology (DH) domain, Dbl homology (DH) domain",4095,"RDEBS09711","RDEBS09711",NA,"jgi.p|Debsub1|3774"
"79",3775,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR019783, IPR019783","Ribosome maturation protein SBDS, N-terminal, Ribosome maturation protein SBDS, N-terminal",4171,"RDEBS09766","RDEBS09766","Translational activation protein Sdo1","jgi.p|Debsub1|3775"
"80",3796,76,NA,NA,NA,"2227, 3827, 4025, 4556","structural constituent of ribosome, intracellular, ribosome, translation","GO:0003735, GO:0005622, GO:0005840, GO:0006412","KOG1790","60s ribosomal protein L34","Translation, ribosomal structure and biogenesis","IPR008195, IPR018065","Ribosomal protein L34Ae, Ribosomal protein L34e, conserved site",3982,"RDEBS10315","RDEBS10315","LSU ribosomal protein L34E","jgi.p|Debsub1|3796"
"81",3802,77,"3.1.3.16","Serine/threonine specific protein phosphatase.","\N","3087, 3089, 3090, 4132, 6080, 6240, 10186, 10187, 10190","phosphoprotein phosphatase activity, calcium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase complex, CTD phosphatase activity, calcium-dependent protein serine/threonine phosphatase regulator activity, myosin phosphatase activity, myosin phosphatase regulator activity, myosin phosphatase complex","GO:0004721, GO:0004723, GO:0004724, GO:0005963, GO:0008420, GO:0008597, GO:0017018, GO:0017020, GO:0017023","KOG3986","Protein phosphatase, regulatory subunit PPP1R3C/D","Posttranslational modification, protein turnover, chaperones , Signal transduction mechanisms","IPR005036, IPR005036","Putative phosphatase regulatory subunit, Putative phosphatase regulatory subunit",4115,"RDEBS10090","RDEBS10090","Protein phosphatase 1 regulatory subunit GAC1","jgi.p|Debsub1|3802"
"82",4009,78,"3.1.-.-","Acting on ester bonds.","\N","2917, 3827, 2175, 2909, 18089, 19229","exonuclease activity, intracellular, nucleic acid binding, nuclease activity, phosphoric ester hydrolase activity, T/G mismatch-specific endonuclease activity","GO:0004527, GO:0005622, GO:0003676, GO:0004518, GO:0042578, GO:0043765","KOG3242","Oligoribonuclease (3'->5' exoribonuclease)","RNA processing and modification","IPR013520, IPR006055, IPR012337","Exonuclease, RNase T/DNA polymerase III, Exonuclease, Ribonuclease H-like domain",3974,"RDEBS10492","RDEBS10492","Oligoribonuclease (EC 3.1.-.-)","jgi.p|Debsub1|4009"
"83",4010,79,NA,NA,NA,"3228, 5250, 3043, 3736, 4602, 155, 157, 4504, 3045, 3052","signal transducer activity, signal transduction, protein kinase activity, ATP binding, protein amino acid phosphorylation, two-component response regulator activity, two-component signal transduction system (phosphorelay), regulation of transcription, DNA-dependent, protein serine/threonine kinase activity, protein kinase CK2 activity","GO:0004871, GO:0007165, GO:0004672, GO:0005524, GO:0006468, GO:0000156, GO:0000160, GO:0006355, GO:0004674, GO:0004682","KOG0605","NDR and related serine/threonine kinases","General function prediction only","IPR000719, IPR001789, IPR008271, IPR000719, IPR001789, IPR000014, IPR002290, IPR001789, IPR011006, IPR000014, IPR011009","Protein kinase domain, Signal transduction response regulator, receiver domain, Serine/threonine-protein kinase, active site, Protein kinase domain, Signal transduction response regulator, receiver domain, PAS domain, Serine/threonine/dual specificity protein kinase, catalytic  domain, Signal transduction response regulator, receiver domain, CheY-like superfamily, PAS domain, Protein kinase-like domain",3971,"RDEBS10512","RDEBS10512","Serine/threonine-protein kinase RIM15 (EC 2.7.1.-)","jgi.p|Debsub1|4010"
"84",4164,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR001680, IPR001680, IPR017986","WD40 repeat, WD40 repeat, WD40-repeat-containing domain",3919,"RDEBS10797","RDEBS10797",NA,"jgi.p|Debsub1|4164"
"85",4166,81,NA,NA,NA,"3721, 12251","iron ion binding, heme binding","GO:0005506, GO:0020037",NA,NA,NA,"IPR000971, IPR009050","Globin, Globin-like",3898,"RDEBS10871","RDEBS10871",NA,"jgi.p|Debsub1|4166"
"86",4182,82,"3.4.16.6","Carboxypeptidase D.","\N","2623, 4639, 2625","serine carboxypeptidase activity, proteolysis, carboxypeptidase D activity","GO:0004185, GO:0006508, GO:0004187","KOG1282","Serine carboxypeptidases (lysosomal cathepsin A)","Amino acid transport and metabolism , Posttranslational modification, protein turnover, chaperones","IPR001563, IPR018202, IPR029058","Peptidase S10, serine carboxypeptidase, Peptidase S10, serine carboxypeptidase, active site, Alpha/Beta hydrolase fold",3963,"RDEBS10975","RDEBS10975","Carboxypeptidase KEX1 precursor (EC 3.4.16.6)","jgi.p|Debsub1|4182"
"87",4185,83,NA,NA,NA,"2196, 3838, 4504, 19030","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, sequence-specific DNA binding","GO:0003700, GO:0005634, GO:0006355, GO:0043565","KOG0490","Transcription factor, contains HOX domain","General function prediction only","IPR001356, IPR017970, IPR001356, IPR001356, IPR009057","Homeobox domain, Homeobox, conserved site, Homeobox domain, Homeobox domain, Homeodomain-like",3866,"RDEBS11120","RDEBS11120","Homeobox protein YOX1","jgi.p|Debsub1|4185"
"88",4251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3914,"RDEBS10827","RDEBS10827",NA,"jgi.p|Debsub1|4251"
"89",4540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3752,"RDEBS11451","RDEBS11451",NA,"jgi.p|Debsub1|4540"
"90",4557,84,NA,NA,NA,"162, 10269, 3736, 3708, 3727, 3966, 5126","nucleotide binding, nucleoside-triphosphatase activity, ATP binding, binding, protein binding, peroxisome, peroxisome organization and biogenesis","GO:0000166, GO:0017111, GO:0005524, GO:0005488, GO:0005515, GO:0005777, GO:0007031","KOG0735","AAA+-type ATPase","Posttranslational modification, protein turnover, chaperones","IPR003959, IPR015342, IPR003960, IPR003593, IPR009010, IPR027417, IPR029067","ATPase, AAA-type, core, Peroxisome biogenesis factor 1, N-terminal, ATPase, AAA-type, conserved site, AAA+ ATPase domain, Aspartate decarboxylase-like domain, P-loop containing nucleoside triphosphate hydrolase, CDC48 domain 2-like",3784,"RDEBS11973","RDEBS11973","Peroxisome biosynthesis protein PAS1","jgi.p|Debsub1|4557"
